user_id,book_id,rating
1,255,1
1,179,2
1,162,4
1,142,4
1,496,3
1,115,3
1,258,5
1,273,3
1,33,4
1,306,3
1,136,5
1,498,4
1,54,3
1,43,4
1,1041,5
1,46,4
1,150,3
1,60,3
1,119,3
1,869,4
1,4,5
1,76,3
1,1011,4
1,132,3
1,407,2
1,131,4
1,171,3
1,1030,4
1,1176,4
1,1644,5
1,109,3
1,2679,3
1,268,3
1,57,3
1,867,3
1,35,5
1,492,2
1,45,5
1,177,5
1,325,3
1,140,3
1,36,4
1,111,3
1,2738,3
1,642,4
1,138,2
1,287,3
1,485,4
1,225,4
1,67,3
1,38,2
1,3294,5
1,233,4
1,85,3
1,70,5
1,72,3
1,3406,2
1,31,4
1,32,4
1,16,3
1,212,3
1,94,1
1,901,4
1,10,4
1,95,4
1,3638,3
1,2063,4
1,103,3
1,1796,5
1,66,4
1,13,4
1,102,5
1,354,3
1,916,3
1,11,5
1,98,3
1,198,4
1,100,4
2,10,5
2,920,4
2,80,5
2,114,5
2,24,5
2,131,5
2,82,5
2,109,5
2,8,4
2,3122,3
2,284,5
2,66,3
2,118,4
2,125,4
2,5,5
2,27,5
2,2,5
2,264,3
2,21,5
2,932,5
2,664,4
2,18,5
2,2318,3
2,29,3
2,33,4
2,301,5
2,26,4
2,23,5
2,54,5
2,2686,5
3,13,2
3,522,1
3,119,1
3,138,2
3,1005,2
3,32,2
3,59,3
3,660,1
3,77,1
3,301,1
3,1025,1
3,104,1
3,118,3
3,1928,2
3,484,1
3,1714,3
3,715,3
3,4,3
3,265,2
3,599,1
3,2403,2
3,905,2
3,738,1
3,177,2
3,76,1
3,2235,1
3,471,1
3,420,1
3,58,2
3,117,1
3,1142,1
3,55,1
3,184,1
3,3229,1
3,150,2
3,1283,1
3,410,3
3,2190,2
3,255,2
3,815,1
3,883,1
3,229,2
3,782,2
3,1598,1
3,28,2
4,97,3
4,245,5
4,123,4
4,11,4
4,162,1
4,14,3
4,265,5
4,297,4
4,326,3
4,255,2
4,121,1
4,1301,3
4,58,4
4,1380,5
4,93,5
4,373,4
4,540,4
4,1117,3
4,705,3
4,28,3
4,13,4
4,1210,5
4,94,1
4,325,5
4,1733,3
4,95,4
4,288,4
4,903,3
4,1573,1
4,243,3
4,2,5
4,23,5
4,1258,4
4,222,4
4,660,3
4,264,3
4,1296,3
4,354,3
4,72,3
4,184,4
4,476,3
4,48,4
4,35,5
4,1237,5
4,337,4
4,249,4
4,54,4
4,117,4
4,1311,3
4,221,4
4,344,3
4,693,5
4,436,3
4,4,4
4,100,3
4,497,5
4,65,4
4,19,2
4,45,4
4,113,4
4,33,3
4,36,5
4,301,4
4,102,5
4,335,4
4,1037,4
4,111,2
4,492,4
4,103,5
4,55,4
4,1265,4
4,388,4
4,489,5
4,401,4
4,3237,4
4,84,4
4,21,5
4,7,4
4,70,4
4,230,4
4,287,3
4,383,5
4,398,3
4,381,1
4,86,4
4,782,3
4,18,5
4,129,4
4,26,3
4,2190,4
4,321,5
4,158,4
4,27,5
4,715,4
4,575,3
4,24,5
4,85,5
4,413,4
4,3469,5
4,1435,4
4,131,4
4,8,4
4,640,3
4,10,5
4,5,4
4,32,4
5,1795,3
5,3647,4
5,3744,5
5,305,4
5,3267,4
5,451,5
5,326,3
5,1009,2
5,887,3
5,6,4
5,1485,4
5,626,4
5,2637,5
5,1145,4
5,3429,4
5,2602,4
5,1744,3
5,441,4
5,1742,4
5,2431,3
5,1339,3
5,794,5
5,57,4
5,431,3
6,453,5
6,328,5
6,100,5
6,860,5
6,2188,4
6,1859,5
6,430,3
6,82,5
6,177,5
6,604,4
6,408,5
6,1265,5
6,1283,4
6,881,5
6,185,4
6,550,5
6,1752,4
6,60,3
6,490,5
6,94,5
6,233,5
6,1494,5
6,979,4
6,1976,4
6,658,5
6,749,5
6,65,5
6,115,5
6,2633,4
6,520,4
6,2279,5
7,1873,4
7,562,3
7,115,4
7,55,5
7,1484,5
7,1801,5
7,1519,5
7,8,2
7,1074,5
7,1119,1
7,192,5
7,1536,4
7,83,4
7,550,4
7,410,3
7,1105,3
7,2241,2
7,184,5
7,883,4
7,1592,2
7,612,5
7,32,5
7,37,4
7,936,3
7,48,5
7,405,4
7,2470,3
7,249,4
7,593,3
7,1991,4
7,1278,3
7,335,5
7,729,5
7,3314,5
7,2045,3
7,1023,4
7,760,5
7,1969,5
7,2487,5
7,2931,4
7,1641,4
7,167,4
7,1117,3
7,633,4
7,126,5
7,400,4
7,949,4
7,2693,4
7,125,5
7,481,4
7,492,4
7,283,4
7,1918,3
7,510,4
7,322,5
7,79,4
7,89,5
7,377,4
7,1525,2
7,2564,3
7,373,4
7,2084,5
7,2102,4
7,28,5
7,1262,3
7,2189,3
7,13,5
7,1646,3
7,3247,4
7,205,3
7,3111,4
7,806,3
7,194,4
7,838,3
7,408,5
7,2325,4
7,696,3
7,84,4
7,516,5
7,1620,5
7,307,4
7,3797,2
7,129,4
7,1053,2
7,1642,4
7,1142,4
7,416,5
7,154,3
7,1362,2
7,725,5
7,2347,3
7,5,3
7,1071,4
7,255,4
7,2969,4
7,910,4
8,80,5
8,1041,4
8,43,2
8,28,4
8,79,4
8,3020,5
8,778,5
8,2187,5
8,899,2
8,3377,4
8,94,4
8,650,2
8,97,4
8,362,5
8,1739,1
8,65,5
8,2584,5
8,887,4
8,529,5
8,614,4
8,471,1
8,194,4
8,13,4
8,772,4
8,301,4
8,83,4
8,354,1
8,1937,3
8,485,5
8,63,4
8,230,2
8,54,4
8,71,3
8,592,5
8,658,4
8,2781,4
8,1084,4
8,10,1
8,55,5
8,171,3
8,177,5
8,1797,4
8,1509,1
8,701,4
8,493,5
8,479,4
8,4,3
8,5,3
8,45,3
8,264,3
8,2926,3
8,782,3
8,547,4
8,14,5
8,76,2
8,2732,5
8,788,1
8,2403,4
8,2490,4
8,158,4
8,162,3
8,718,5
8,3676,2
8,576,4
9,483,5
9,1221,3
9,658,4
9,45,4
9,5,5
9,11,1
9,916,2
9,98,3
9,179,4
9,1,4
9,1037,2
9,55,4
9,494,2
9,38,3
9,1231,3
9,17,3
9,1615,3
9,52,4
9,264,4
9,476,2
9,2,4
9,664,4
9,20,4
9,550,5
9,9,1
9,119,4
9,572,2
9,326,3
9,121,5
9,1441,3
9,16,2
9,14,4
9,2013,2
9,471,3
9,1388,2
9,239,4
9,49,4
9,27,4
9,982,4
9,212,5
9,1642,4
9,76,4
9,97,4
9,21,3
9,94,5
9,325,2
9,3,4
9,317,4
9,13,5
9,171,4
9,18,5
9,629,1
9,795,4
9,46,3
9,26,2
9,178,4
9,1005,3
9,1136,5
9,24,3
9,56,5
9,407,5
9,23,3
9,815,5
9,338,3
9,3400,4
9,1301,2
9,60,5
9,10,5
9,33,3
9,150,3
9,28,4
9,227,2
9,213,2
9,258,5
9,115,4
9,467,4
9,306,3
9,78,2
9,1311,2
9,344,4
9,941,5
10,5,5
10,1481,3
10,10,5
10,654,2
10,45,5
10,407,5
10,973,2
10,1009,4
10,33,3
10,516,4
10,3409,5
10,658,5
10,268,5
10,258,5
10,1506,4
10,233,3
10,265,5
10,467,4
10,199,4
10,60,5
10,255,3
10,653,5
10,3946,5
10,83,5
10,357,4
10,98,3
10,172,2
10,494,4
10,4,5
10,325,4
10,239,4
10,924,4
10,212,2
10,1136,3
10,161,5
10,31,4
10,103,5
10,37,3
10,155,5
10,1238,5
10,104,4
10,867,5
10,1256,5
10,287,4
10,3772,2
10,38,5
10,109,3
10,413,4
10,2028,1
